Institute Name,Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank
Indian Institute of Technology Bhubaneswar,Civil Engineering 4 Years Bachelor of Technology,AI,OPEN,Gender-Neutral,9106,14782
Indian Institute of Technology Bhubaneswar,Civil Engineering 4 Years Bachelor of Technology,AI,OPEN,Female-only including Supernumerary,18286,23024
Indian Institute of Technology Bhubaneswar,Civil Engineering 4 Years Bachelor of Technology,AI,EWS,Gender-Neutral,2062,2267
Indian Institute of Technology Bhubaneswar,Computer Science and Engineering 4 Years Bachelor of Technology,AI,OPEN,Gender-Neutral,2389,3685
Indian Institute of Technology Bhubaneswar,Computer Science and Engineering 4 Years Bachelor of Technology,AI,OPEN,Female-only including Supernumerary,4833,7557
Indian Institute of Technology Roorkee,Computer Science and Engineering 4 Years Bachelor of Technology,AI,OPEN,Gender-Neutral,277,481
Indian Institute of Technology Roorkee,Computer Science and Engineering 4 Years Bachelor of Technology,AI,EWS,Gender-Neutral,56,90
Indian Institute of Technology Bombay,Computer Science and Engineering 4 Years Bachelor of Technology,AI,OPEN,Gender-Neutral,1,68
Indian Institute of Technology Bombay,Computer Science and Engineering 4 Years Bachelor of Technology,AI,EWS,Gender-Neutral,7,23
Indian Institute of Technology Bombay,Electrical Engineering 4 Years Bachelor of Technology,AI,OPEN,Gender-Neutral,15,496
